 0.70   -75.6828835839   -75.6829911447
 0.80   -75.9146338953   -75.9147792204
 0.90   -76.0076436935   -76.0078990228
 1.00   -76.0267949108   -76.0273394615
 1.10   -76.0071949588   -76.0084307075
 1.20   -75.9682489165   -75.9709373721
 1.30   -75.9205986029   -75.9259149366
 1.40   -75.8699903908   -75.8794030510
 1.50   -75.8195065698   -75.8345299849
 1.60   -75.7707703187   -75.7927394851
 1.70   -75.7245765569   -75.8242872827
 1.80   -75.6812459044   -75.8041989947
 1.90   -75.6408431277   -75.7880380583
 2.00   -75.6033104415   -75.7754572814
 2.10   -75.5685421596   -75.7660339878
 2.20   -75.5371189205   -75.7583848745
 2.30   -75.5127790411   -75.7511782560
 2.40   -75.4943243778   -75.7459709111
 2.50   -75.4800194262   -75.7422789493
 2.60   -75.4687233502   -75.7396661207
 2.70   -75.4596597273   -75.7378092347
 2.80   -75.4522868681   -75.7364822029
 2.90   -75.4462180610   -75.7355314650
 3.00   -75.4411702916   -75.7348531028
 3.10   -75.4369310940   -75.7343752372
 3.20   -75.4333373475   -75.7340461440
 3.30   -75.4302617635   -75.7338270021
 3.40   -75.4276040851   -75.7336878128
 3.50   -75.4252850381   -75.7336051786
 3.60   -75.4232418731   -75.7335610294
