0.70   -75.6966731603   -75.8779825943
0.80   -75.9331430547   -76.1166111901
0.90   -76.0323854506   -76.2163617623
1.00   -76.0592243752   -76.2428424991
1.10   -76.0490545280   -76.2313020088
1.20   -76.0212784986   -76.2013031488
1.30   -75.9864616614   -76.1636481413
1.40   -75.9502405463   -76.1242378322
1.50   -75.9155866697   -76.0862841461
1.60   -75.8840337463   -76.0515119705
1.70   -75.8563135235   -76.0207899327
1.80   -75.8326986794   -75.9944745723
1.90   -75.8132014825   -75.9726109258
2.00   -75.7976807366   -75.9550435156
2.10   -75.7858876640   -75.9414672433
2.20   -75.7765410199   -75.9308005749
2.30   -75.7683515508   -75.9222054063
2.40   -75.7628834608   -75.9167900565
2.50   -75.7593975860   -75.9142118014
2.60   -75.7572334135   -75.9144991696
2.70   -75.7559023814   -75.9184396775
2.80   -75.7550727084   -75.9282421529
2.90   -75.7545332826   -75.9490710727
3.00   -75.7541569823   -75.9930598338
3.10   -75.7538709000   -76.0904047857
3.20   -75.7536354965   -76.3102338057
