0.70   -75.6829911562   -75.8767657084
0.80   -75.9147792361   -76.1151260597
0.90   -76.0078990464   -76.2143946943
1.00   -76.0273395010   -76.2399643152
1.10   -76.0084307858   -76.2272579286
1.20   -75.9709375388   -76.1959729037
1.30   -75.9259152380   -76.1571032941
1.40   -75.8794034644   -76.1167268179
1.50   -75.8345304381   -76.0781241114
1.60   -75.7927398167   -76.0429660674
1.70   -75.8242874511   -76.0189093300
1.80   -75.8041989940   -75.9932225293
1.90   -75.7880379866   -75.9718281451
2.00   -75.7754573871   -75.9544667401
2.10   -75.7660351477   -75.9407306553
2.20   -75.7583951780   -75.9291628381
2.30   -75.7511917283   -75.9193819733
2.40   -75.7459861662   -75.9124692495
2.50   -75.7422949088   -75.9080928677
2.60   -75.7396821265   -75.9064806706
2.70   -75.7378249326   -75.9087787730
2.80   -75.7364972594   -75.9178484218
2.90   -75.7355456888   -75.9401653307
3.00   -75.7348662947   -75.9906576298
