 0.70   -75.6863756870   -75.8769917101
 0.80   -75.9202995590   -76.1155776429
 0.90   -76.0161956496   -76.2152219795
 1.00   -76.0393976777   -76.2413563253
 1.10   -76.0258203098   -76.2294689434
 1.20   -75.9956338059   -76.1992596948
 1.30   -75.9598556062   -76.1615994382
 1.40   -75.9240737300   -76.1223641528
 1.50   -75.8905333933   -76.0843066651
 1.60   -75.8616426230   -76.0499244952
 1.70   -75.8365704555   -76.0195321639
 1.80   -75.8154163841   -75.9934632339
 1.90   -75.7981058367   -75.9717392188
 2.00   -75.7844387939   -75.9541683521
 2.10   -75.7741177568   -75.9403839375
 2.20   -75.7659444213   -75.9287702418
 2.30   -75.7584899958   -75.9195433704
 2.40   -75.7533533276   -75.9135964239
 2.50   -75.7499608424   -75.9103900029
 2.60   -75.7477486879   -75.9100259006
 2.70   -75.7462906799   -75.9135684291
 2.80   -75.7452953278   -75.9238068889
 2.90   -75.7445772758   -75.9469957483
 3.00   -75.7440253974   -75.9968220196
 3.10   -75.7435762870   -76.1018551979
